"No.", "Time"    , "Source"     , "Destination", "Protocol", "Length", "Info"
"1"  , "0.000000", "172.28.0.20", "172.28.0.10", "TCP"     , "74"    , "51854  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1939212664 TSecr=0 WS=1024"
"2"  , "0.000045", "172.28.0.10", "172.28.0.20", "TCP"     , "74"    , "5000  >  51854 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3899109371 TSecr=1939212664 WS=1024"
"3"  , "0.010124", "172.28.0.20", "172.28.0.10", "TCP"     , "66"    , "51854  >  5000 [ACK] Seq=1 Ack=1 Win=64512 Len=0 TSval=1939212684 TSecr=3899109371"
"4"  , "0.010182", "172.28.0.20", "172.28.0.10", "TCP"     , "171"   , "51854  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64512 Len=105 TSval=1939212684 TSecr=3899109371"
"5"  , "0.010191", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=106 Win=65536 Len=0 TSval=3899109381 TSecr=1939212684"
"6"  , "0.010249", "172.28.0.20", "172.28.0.10", "RSL"     , "2962"  , "[Malformed Packet]"
"7"  , "0.010254", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=3002 Win=71680 Len=0 TSval=3899109381 TSecr=1939212684"
"8"  , "0.010263", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=3002 Ack=1 Win=64512 Len=2896 TSval=1939212684 TSecr=3899109371"
"9"  , "0.010265", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=5898 Win=77824 Len=0 TSval=3899109381 TSecr=1939212684"
"10" , "0.010265", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=5898 Ack=1 Win=64512 Len=2896 TSval=1939212684 TSecr=3899109371"
"11" , "0.010267", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=8794 Win=82944 Len=0 TSval=3899109381 TSecr=1939212684"
"12" , "0.010268", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=8794 Ack=1 Win=64512 Len=2896 TSval=1939212684 TSecr=3899109371"
"13" , "0.010269", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=11690 Win=89088 Len=0 TSval=3899109381 TSecr=1939212684"
"14" , "0.010270", "172.28.0.20", "172.28.0.10", "TCP"     , "1514"  , "51854  >  5000 [ACK] Seq=11690 Ack=1 Win=64512 Len=1448 TSval=1939212684 TSecr=3899109371"
"15" , "0.010272", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=13138 Win=88064 Len=0 TSval=3899109381 TSecr=1939212684"
"16" , "0.020244", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=13138 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"17" , "0.020266", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=16034 Win=95232 Len=0 TSval=3899109391 TSecr=1939212694"
"18" , "0.020293", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=16034 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"19" , "0.020297", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=18930 Win=94208 Len=0 TSval=3899109391 TSecr=1939212694"
"20" , "0.020298", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=18930 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"21" , "0.020300", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=21826 Win=92160 Len=0 TSval=3899109391 TSecr=1939212694"
"22" , "0.020301", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=21826 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"23" , "0.020303", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=24722 Win=90112 Len=0 TSval=3899109391 TSecr=1939212694"
"24" , "0.020304", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=24722 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"25" , "0.020307", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=27618 Win=88064 Len=0 TSval=3899109391 TSecr=1939212694"
"26" , "0.020308", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=27618 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"27" , "0.020310", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=30514 Win=86016 Len=0 TSval=3899109391 TSecr=1939212694"
"28" , "0.020311", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=30514 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"29" , "0.020314", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=33410 Win=83968 Len=0 TSval=3899109391 TSecr=1939212694"
"30" , "0.020314", "172.28.0.20", "172.28.0.10", "RSL"     , "2962"  , "ERROR REPORT "
"31" , "0.020317", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=36306 Win=81920 Len=0 TSval=3899109391 TSecr=1939212694"
"32" , "0.020318", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=36306 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"33" , "0.020320", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=39202 Win=79872 Len=0 TSval=3899109391 TSecr=1939212694"
"34" , "0.020321", "172.28.0.20", "172.28.0.10", "TCP"     , "2962"  , "51854  >  5000 [PSH, ACK] Seq=39202 Ack=1 Win=64512 Len=2896 TSval=1939212694 TSecr=3899109381"
"35" , "0.020323", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=42098 Win=77824 Len=0 TSval=3899109391 TSecr=1939212694"
"36" , "0.030330", "172.28.0.20", "172.28.0.10", "RSL"     , "4410"  , "PAGING Huawei extension "
"37" , "0.030364", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=46442 Win=95232 Len=0 TSval=3899109401 TSecr=1939212704"
"38" , "0.030368", "172.28.0.20", "172.28.0.10", "RSL"     , "1514"  , "[Malformed Packet]"
"39" , "0.030370", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=47890 Win=94208 Len=0 TSval=3899109401 TSecr=1939212704"
"40" , "0.030403", "172.28.0.20", "172.28.0.10", "TCP"     , "4410"  , "51854  >  5000 [PSH, ACK] Seq=47890 Ack=1 Win=64512 Len=4344 TSval=1939212704 TSecr=3899109391"
"41" , "0.030406", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=52234 Win=90112 Len=0 TSval=3899109401 TSecr=1939212704"
"42" , "0.030407", "172.28.0.20", "172.28.0.10", "TCP"     , "1514"  , "51854  >  5000 [ACK] Seq=52234 Ack=1 Win=64512 Len=1448 TSval=1939212704 TSecr=3899109391"
"43" , "0.030410", "172.28.0.20", "172.28.0.10", "TCP"     , "4410"  , "51854  >  5000 [PSH, ACK] Seq=53682 Ack=1 Win=64512 Len=4344 TSval=1939212704 TSecr=3899109391"
"44" , "0.030411", "172.28.0.20", "172.28.0.10", "TCP"     , "1514"  , "51854  >  5000 [ACK] Seq=58026 Ack=1 Win=64512 Len=1448 TSval=1939212704 TSecr=3899109391"
"45" , "0.030413", "172.28.0.20", "172.28.0.10", "TCP"     , "5858"  , "51854  >  5000 [PSH, ACK] Seq=59474 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"46" , "0.030415", "172.28.0.20", "172.28.0.10", "TCP"     , "5858"  , "51854  >  5000 [PSH, ACK] Seq=65266 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"47" , "0.030417", "172.28.0.20", "172.28.0.10", "TCP"     , "5858"  , "51854  >  5000 [PSH, ACK] Seq=71058 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"48" , "0.030419", "172.28.0.20", "172.28.0.10", "TCP"     , "5858"  , "51854  >  5000 [PSH, ACK] Seq=76850 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"49" , "0.030421", "172.28.0.20", "172.28.0.10", "TCP"     , "5858"  , "51854  >  5000 [PSH, ACK] Seq=82642 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"50" , "0.030423", "172.28.0.20", "172.28.0.10", "RSL"     , "5858"  , "PAGING Huawei extension "
"51" , "0.030426", "172.28.0.20", "172.28.0.10", "TCP"     , "5858"  , "51854  >  5000 [PSH, ACK] Seq=94226 Ack=1 Win=64512 Len=5792 TSval=1939212704 TSecr=3899109391"
"52" , "0.030489", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=100018 Win=95232 Len=0 TSval=3899109401 TSecr=1939212704"
"53" , "0.040441", "172.28.0.20", "172.28.0.10", "TCP"     , "8754"  , "51854  >  5000 [PSH, ACK] Seq=100018 Ack=1 Win=64512 Len=8688 TSval=1939212714 TSecr=3899109401"
"54" , "0.040489", "172.28.0.20", "172.28.0.10", "TCP"     , "11650" , "51854  >  5000 [PSH, ACK] Seq=108706 Ack=1 Win=64512 Len=11584 TSval=1939212714 TSecr=3899109401"
"55" , "0.040512", "172.28.0.20", "172.28.0.10", "TCP"     , "20338" , "51854  >  5000 [PSH, ACK] Seq=120290 Ack=1 Win=64512 Len=20272 TSval=1939212714 TSecr=3899109401"
"56" , "0.040517", "172.28.0.20", "172.28.0.10", "TCP"     , "20338" , "51854  >  5000 [PSH, ACK] Seq=140562 Ack=1 Win=64512 Len=20272 TSval=1939212714 TSecr=3899109401"
"57" , "0.040524", "172.28.0.20", "172.28.0.10", "TCP"     , "20338" , "51854  >  5000 [PSH, ACK] Seq=160834 Ack=1 Win=64512 Len=20272 TSval=1939212714 TSecr=3899109401"
"58" , "0.040528", "172.28.0.20", "172.28.0.10", "RSL"     , "14210" , "[TCP Window Full] PAGING Huawei extension unknown 0x2e "
"59" , "0.040599", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=195250 Win=71680 Len=0 TSval=3899109411 TSecr=1939212714"
"60" , "0.050774", "172.28.0.20", "172.28.0.10", "TCP"     , "37714" , "51854  >  5000 [PSH, ACK] Seq=195250 Ack=1 Win=64512 Len=37648 TSval=1939212724 TSecr=3899109411"
"61" , "0.050820", "172.28.0.20", "172.28.0.10", "TCP"     , "34098" , "[TCP Window Full] 51854  >  5000 [PSH, ACK] Seq=232898 Ack=1 Win=64512 Len=34032 TSval=1939212724 TSecr=3899109411"
"62" , "0.050866", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=266930 Win=95232 Len=0 TSval=3899109422 TSecr=1939212724"
"63" , "0.061012", "172.28.0.20", "172.28.0.10", "TCP"     , "37714" , "51854  >  5000 [PSH, ACK] Seq=266930 Ack=1 Win=64512 Len=37648 TSval=1939212735 TSecr=3899109422"
"64" , "0.061060", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=304578 Win=151552 Len=0 TSval=3899109432 TSecr=1939212735"
"65" , "0.061070", "172.28.0.20", "172.28.0.10", "TCP"     , "37714" , "51854  >  5000 [PSH, ACK] Seq=304578 Ack=1 Win=64512 Len=37648 TSval=1939212735 TSecr=3899109422"
"66" , "0.061079", "172.28.0.20", "172.28.0.10", "TCP"     , "20002" , "51854  >  5000 [PSH, ACK] Seq=342226 Ack=1 Win=64512 Len=19936 TSval=1939212735 TSecr=3899109422"
"67" , "0.061148", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=362162 Win=136192 Len=0 TSval=3899109432 TSecr=1939212735"
"68" , "0.071247", "172.28.0.20", "172.28.0.10", "TCP"     , "37714" , "51854  >  5000 [PSH, ACK] Seq=362162 Ack=1 Win=64512 Len=37648 TSval=1939212745 TSecr=3899109432"
"69" , "0.071295", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=399810 Win=151552 Len=0 TSval=3899109442 TSecr=1939212745"
"70" , "0.071305", "172.28.0.20", "172.28.0.10", "TCP"     , "37714" , "51854  >  5000 [PSH, ACK] Seq=399810 Ack=1 Win=64512 Len=37648 TSval=1939212745 TSecr=3899109432"
"71" , "0.071317", "172.28.0.20", "172.28.0.10", "TCP"     , "49298" , "51854  >  5000 [PSH, ACK] Seq=437458 Ack=1 Win=64512 Len=49232 TSval=1939212745 TSecr=3899109432"
"72" , "0.071326", "172.28.0.20", "172.28.0.10", "TCP"     , "11730" , "51854  >  5000 [PSH, ACK] Seq=486690 Ack=1 Win=64512 Len=11664 TSval=1939212745 TSecr=3899109432"
"73" , "0.071392", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=498354 Win=104448 Len=0 TSval=3899109442 TSecr=1939212745"
"74" , "0.081398", "172.28.0.20", "172.28.0.10", "TCP"     , "13098" , "51854  >  5000 [PSH, ACK] Seq=498354 Ack=1 Win=64512 Len=13032 TSval=1939212755 TSecr=3899109442"
"75" , "0.081447", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=511386 Win=169984 Len=0 TSval=3899109452 TSecr=1939212755"
"76" , "0.081480", "172.28.0.20", "172.28.0.10", "TCP"     , "786"   , "51854  >  5000 [PSH, ACK] Seq=511386 Ack=1 Win=64512 Len=720 TSval=1939212755 TSecr=3899109442"
"77" , "0.081507", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=1 Ack=512106 Win=169984 Len=0 TSval=3899109452 TSecr=1939212755"
"78" , "0.081871", "172.28.0.10", "172.28.0.20", "TCP"     , "69"    , "5000  >  51854 [PSH, ACK] Seq=1 Ack=512106 Win=169984 Len=3 TSval=3899109453 TSecr=1939212755"
"79" , "0.091926", "172.28.0.20", "172.28.0.10", "TCP"     , "66"    , "51854  >  5000 [ACK] Seq=512106 Ack=4 Win=64512 Len=0 TSval=1939212766 TSecr=3899109453"
"80" , "0.092014", "172.28.0.20", "172.28.0.10", "TCP"     , "66"    , "51854  >  5000 [FIN, ACK] Seq=512106 Ack=4 Win=64512 Len=0 TSval=1939212766 TSecr=3899109453"
"81" , "0.132739", "172.28.0.10", "172.28.0.20", "TCP"     , "66"    , "5000  >  51854 [ACK] Seq=4 Ack=512107 Win=169984 Len=0 TSval=3899109504 TSecr=1939212766"
"82" , "0.188854", "172.28.0.20", "172.28.0.10", "UDP"     , "113"   , "33559  >  5001 Len=71"
"83" , "0.189127", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"84" , "0.199392", "172.28.0.20", "172.28.0.10", "IPv4"    , "1514"  , "Fragmented IP protocol (proto=UDP 17, off=0, ID=5d7f)"
"85" , "0.199655", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"86" , "0.209829", "172.28.0.20", "172.28.0.10", "IPv4"    , "1514"  , "Fragmented IP protocol (proto=UDP 17, off=0, ID=5d8a)"
"87" , "0.210225", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"88" , "0.220509", "172.28.0.20", "172.28.0.10", "IPv4"    , "1514"  , "Fragmented IP protocol (proto=UDP 17, off=0, ID=5d8f)"
"89" , "0.220945", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"90" , "0.231264", "172.28.0.20", "172.28.0.10", "IPv4"    , "1514"  , "Fragmented IP protocol (proto=UDP 17, off=0, ID=5d91)"
"91" , "0.231680", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
"92" , "0.242054", "172.28.0.20", "172.28.0.10", "IPv4"    , "1514"  , "Fragmented IP protocol (proto=UDP 17, off=0, ID=5d9c)"
"93" , "0.242412", "172.28.0.10", "172.28.0.20", "UDP"     , "94"    , "5001  >  33559 Len=52"
